County,Year,Population
Oswego,2005,123953
Otsego,2005,62608
Putnam,2005,100714
Queens,2005,2231815
Rensselaer,2005,154298
Richmond,2005,462594
Rockland,2005,294047
Saratoga,2005,213011
Schenectady,2005,148254
Schoharie,2005,32058
Schuyler,2005,19533
Seneca,2005,35125
Steuben,2005,98956
St Lawrence,2005,111465
Suffolk,2005,1477602
Sullivan,2005,76219
Tioga,2005,51609
Tompkins,2005,100278
Ulster,2005,182039
Warren,2005,65240
Washington,2005,62897
Wayne,2005,93995
Westchester,2005,943794
Wyoming,2005,43048
Yates,2005,24704
Albany,2004,298419
Allegany,2004,50659
Bronx,2004,1369123
Broome,2004,199744
Cattaraugus,2004,83515
Cayuga,2004,81883
Chautauqua,2004,137910
Chemung,2004,90587
Chenango,2004,51759
Clinton,2004,81523
Columbia,2004,63527
Cortland,2004,48785
Delaware,2004,47317
Dutchess,2004,291445
Erie,2004,943107
Essex,2004,39067
Franklin,2004,51154
Fulton,2004,55312
Genesee,2004,60136
Greene,2004,48959
Hamilton,2004,5288
Herkimer,2004,63827
Jefferson,2004,114872
Kings,2004,2479004
Lewis,2004,26687
Livingston,2004,64783
Madison,2004,70317
Monroe,2004,738157
Montgomery,2004,49466
Nassau,2004,1342044
New York,2004,1563556
Niagara,2004,218570
Oneida,2004,234825
Onondaga,2004,461404
Ontario,2004,102642
Orange,2004,363853
Orleans,2004,43713
Oswego,2004,123733
Otsego,2004,62316
Putnam,2004,99742
Queens,2004,2227863
Rensselaer,2004,154304
Richmond,2004,461775
Rockland,2004,293553
Saratoga,2004,210222
Schenectady,2004,147573
Schoharie,2004,31746
Schuyler,2004,19492
Seneca,2004,35251
Steuben,2004,99203
St Lawrence,2004,111870
Suffolk,2004,1470865
Sullivan,2004,75092
Tioga,2004,51846
Tompkins,2004,101606
Ulster,2004,181460
Warren,2004,64840
Washington,2004,61991
Wayne,2004,93909
Westchester,2004,942114
Wyoming,2004,43015
Yates,2004,24768
Albany,2003,296677
Allegany,2003,50266
Bronx,2003,1352377
Broome,2003,200665
Cattaraugus,2003,83411
Cayuga,2003,81701
Chautauqua,2003,138567
Chemung,2003,90768
Chenango,2003,51411
Clinton,2003,81207
Columbia,2003,63640
Cortland,2003,48897
Delaware,2003,47382
Dutchess,2003,288241
Erie,2003,946656
Essex,2003,39001
Franklin,2003,51051
Fulton,2003,55143
Genesee,2003,59901
Greene,2003,48621
Hamilton,2003,5304
Herkimer,2003,63849
Jefferson,2003,108344
Kings,2003,2494204
Lewis,2003,26718
Livingston,2003,64934
Madison,2003,69908
Monroe,2003,739678
Montgomery,2003,49471
Nassau,2003,1347179
New York,2003,1546731
Niagara,2003,218470
Oneida,2003,235366
Onondaga,2003,461560
Ontario,2003,101740
Orange,2003,357380
Orleans,2003,43966
Oswego,2003,123141
Otsego,2003,62176
Putnam,2003,98424
Queens,2003,2243164
Rensselaer,2003,153560
Richmond,2003,461590
Rockland,2003,292331
Saratoga,2003,207487
Schenectady,2003,147370
Schoharie,2003,31909
Schuyler,2003,19408
Seneca,2003,35035
Steuben,2003,99482
St Lawrence,2003,111362
Suffolk,2003,1461136
Sullivan,2003,74399
Tioga,2003,51860
Tompkins,2003,99376
Ulster,2003,180292
Warren,2003,64015
Washington,2003,61299
Wayne,2003,94238
Westchester,2003,938873
Wyoming,2003,43238
Yates,2003,24565
Albany,2002,297376
Allegany,2002,50404
